ANO;DIA;JANEIRO;FEVEREIRO;MARCO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO
2024;1;239;254;225;201;220;205;237;243;234;0;0;0
2024;2;239;253;228;201;218;204;236;242;233;0;0;0
2024;3;238;254;225;202;216;204;236;241;234;0;0;0
2024;4;236;254;227;203;214;203;237;238;231;0;0;0
2024;5;234;252;226;209;214;202;236;236;230;0;0;0
2024;6;234;246;226;218;217;204;235;234;228;0;0;0
2024;7;237;243;223;222;217;216;235;232;229;0;0;0
2024;8;253;242;222;222;219;224;234;233;0;0;0;0
2024;9;253;244;221;222;222;226;232;233;0;0;0;0
2024;10;254;246;222;225;224;226;232;232;0;0;0;0
2024;11;256;240;222;228;224;226;232;232;0;0;0;0
2024;12;256;229;223;227;225;229;233;233;0;0;0;0
2024;13;256;224;223;228;223;230;236;233;0;0;0;0
2024;14;258;225;224;228;224;230;236;233;0;0;0;0
2024;15;257;223;224;228;225;231;239;233;0;0;0;0
2024;16;258;219;225;228;224;233;242;234;0;0;0;0
2024;17;256;213;224;224;223;233;242;235;0;0;0;0
2024;18;256;218;223;225;223;234;242;235;0;0;0;0
2024;19;256;226;223;226;222;233;240;236;0;0;0;0
2024;20;254;229;224;226;223;235;241;235;0;0;0;0
2024;21;254;226;224;226;223;236;241;234;0;0;0;0
2024;22;255;224;224;227;224;238;242;234;0;0;0;0
2024;23;255;221;224;227;221;238;240;234;0;0;0;0
2024;24;254;217;224;227;224;240;240;234;0;0;0;0
2024;25;256;215;224;226;222;243;240;233;0;0;0;0
2024;26;254;215;224;227;223;243;243;233;0;0;0;0
2024;27;256;218;222;227;223;242;242;232;0;0;0;0
2024;28;256;219;219;227;224;240;243;234;0;0;0;0
2024;29;255;0;216;224;223;240;241;234;0;0;0;0
2024;30;255;0;204;223;224;240;244;234;0;0;0;0
2024;31;256;0;202;0;212;0;244;234;0;0;0;0
2023;1;211;231;203;191;193;201;219;238;218;226;220;227
2023;2;213;228;203;191;192;200;222;234;219;225;219;228
2023;3;214;226;202;191;194;200;226;230;219;225;210;231
2023;4;213;223;201;191;193;200;229;228;219;225;206;233
2023;5;214;220;200;193;193;201;231;228;221;226;203;237
2023;6;217;217;200;194;193;204;232;225;223;228;204;239
2023;7;221;215;199;195;198;206;234;224;225;226;204;239
2023;8;229;211;200;187;198;206;234;223;216;227;204;240
2023;9;229;211;202;187;198;199;235;222;208;225;207;241
2023;10;227;212;203;190;195;194;235;220;207;225;218;241
2023;11;228;216;203;188;195;193;234;220;209;224;224;242
2023;12;229;216;203;186;195;191;235;217;210;222;227;240
2023;13;228;217;203;181;196;192;236;216;209;221;225;238
2023;14;230;218;202;180;195;184;240;216;208;203;227;238
2023;15;229;219;202;185;194;187;240;216;217;202;223;239
2023;16;230;219;202;185;193;193;240;216;224;202;223;240
2023;17;231;217;204;179;194;201;239;216;225;204;221;240
2023;18;231;218;204;177;194;204;238;214;222;206;222;240
2023;19;231;210;204;180;195;205;238;212;221;209;223;243
2023;20;231;198;203;182;194;206;238;212;220;219;221;245
2023;21;230;192;204;184;195;214;238;210;223;226;221;247
2023;22;231;190;204;177;195;213;240;210;225;226;224;250
2023;23;230;189;203;178;197;214;239;210;226;226;224;249
2023;24;230;186;201;182;197;215;240;211;228;225;224;247
2023;25;229;183;200;186;197;213;242;216;229;219;224;232
2023;26;230;189;199;186;198;215;243;216;229;216;224;232
2023;27;231;199;199;187;199;215;244;216;229;214;224;236
2023;28;232;206;198;188;199;216;241;218;229;213;224;237
2023;29;232;0;197;199;200;217;242;220;226;215;224;238
2023;30;230;0;196;195;200;217;242;219;227;216;224;238
2023;31;230;0;193;0;201;0;240;219;0;216;0;238
2022;1;218;211;175;218;208;207;203;218;195;197;193;188
2022;2;221;207;175;218;209;208;206;213;195;199;187;186
2022;3;220;204;176;219;209;206;212;210;193;199;181;187
2022;4;220;200;176;218;208;206;212;206;191;199;179;190
2022;5;218;198;176;216;208;204;214;203;190;199;178;191
2022;6;216;194;180;216;208;202;214;200;186;200;178;190
2022;7;217;192;194;217;208;200;215;199;182;200;177;192
2022;8;231;195;206;217;206;201;216;196;177;200;177;192
2022;9;228;194;208;217;207;198;217;197;173;200;179;194
2022;10;221;196;211;217;208;200;217;198;170;197;182;193
2022;11;216;197;213;214;208;200;217;199;172;194;182;192
2022;12;221;197;215;213;208;201;219;198;177;186;182;193
2022;13;207;197;216;214;206;202;219;198;180;182;177;193
2022;14;206;198;215;210;207;201;219;197;186;178;172;192
2022;15;205;198;214;203;206;201;218;197;191;175;167;193
2022;16;204;198;214;194;206;200;219;197;194;175;168;198
2022;17;208;198;213;191;208;190;221;197;198;177;169;205
2022;18;209;199;213;190;207;182;220;197;200;181;168;207
2022;19;211;201;213;187;209;180;220;196;198;190;168;213
2022;20;215;200;214;182;211;182;220;197;198;194;172;215
2022;21;217;199;214;179;213;184;220;197;198;199;179;221
2022;22;219;200;214;174;212;184;220;197;198;202;185;223
2022;23;220;200;214;174;211;188;219;197;198;205;184;225
2022;24;219;200;214;174;210;198;218;196;198;207;184;219
2022;25;220;198;212;177;209;205;220;195;197;205;186;212
2022;26;221;199;210;179;208;205;220;196;198;205;186;211
2022;27;219;195;210;181;206;206;220;196;198;203;187;211
2022;28;219;184;212;185;204;204;220;196;197;201;186;213
2022;29;217;0;213;196;206;204;222;193;198;201;186;214
2022;30;217;0;216;204;205;203;221;195;197;198;186;212
2022;31;215;0;215;0;206;0;220;194;0;194;0;209
